suposicion_actual,bombas,misiles,numero_objetivo,ajuste_necesario
678,1,0,770,92
650,0,5,10,-640
856,0,1,751,-105
364,0,5,964,600
423,0,3,32,-391
40,0,4,618,578
52,1,0,145,93
783,0,4,244,-539
146,0,6,918,772
539,1,0,599,60
242,0,3,654,412
726,0,3,316,-410
994,0,2,784,-210
53,3,0,51,-2
613,0,3,246,-367
595,0,4,58,-537
531,0,3,205,-326
203,1,0,299,96
323,2,0,296,-27
283,0,2,114,-169
66,1,0,144,78
965,0,5,240,-725
744,0,2,911,167
141,0,3,463,322
457,0,3,86,-371
144,0,5,750,606
394,0,2,176,-218
453,2,0,486,33
945,0,7,39,-906
565,0,3,229,-336
366,0,4,872,506
826,0,5,195,-631
347,0,5,997,650
747,0,1,848,101
580,0,3,266,-314
619,0,1,476,-143
838,0,4,382,-456
449,0,2,231,-218
571,0,1,443,-128
373,0,2,178,-195
164,0,2,345,181
533,1,0,455,-78
47,0,4,505,458
171,0,2,436,265
150,1,0,79,-71
759,0,1,884,125
71,0,3,429,358
840,0,4,367,-473
720,0,1,838,118
132,0,0,32,-100
562,0,2,840,278
306,0,1,433,127
400,0,4,888,488
150,2,0,129,-21
385,0,2,666,281
933,1,0,838,-95
602,0,4,152,-450
187,0,3,504,317
940,1,0,862,-78
56,0,3,403,347
167,0,4,708,541
731,0,4,228,-503
747,0,5,69,-678
696,0,1,836,140
230,0,3,543,313
325,0,4,839,514
92,0,4,687,595
197,2,0,209,12
81,0,6,919,838
348,0,2,110,-238
257,0,2,43,-214
954,0,5,243,-711
481,0,2,187,-294
538,0,3,856,318
639,0,3,947,308
848,0,3,487,-361
973,2,0,941,-32
867,0,4,312,-555
324,0,4,866,542
45,2,0,28,-17
261,0,3,709,448
748,0,3,338,-410
931,0,5,329,-602
513,0,2,730,217
182,0,2,341,159
552,1,0,455,-97
578,0,2,770,192
360,0,2,657,297
175,0,2,339,164
468,0,3,23,-445
450,0,1,315,-135
448,1,0,397,-51
157,0,4,717,560
37,0,6,930,893
988,2,0,973,-15
835,2,0,874,39
194,0,5,820,626
526,0,2,753,227
125,0,4,661,536
987,0,3,648,-339
838,0,2,664,-174
918,0,5,200,-718
900,0,2,733,-167
96,0,2,370,274
470,0,3,839,369
898,0,2,653,-245
775,0,6,6,-769
973,0,4,403,-570
207,3,0,204,-3
885,0,3,511,-374
72,0,3,396,324
607,0,4,108,-499
69,0,6,836,767
50,0,2,231,181
239,0,2,80,-159
797,0,2,558,-239
653,0,3,318,-335
861,1,0,947,86
316,0,2,28,-288
513,0,3,87,-426
276,0,2,478,202
651,0,3,264,-387
448,0,1,314,-134
342,0,2,581,239
421,0,4,889,468
342,1,0,440,98
162,0,5,784,622
437,0,1,583,146
58,0,6,831,773
920,0,4,356,-564
246,0,4,832,586
910,0,5,256,-654
370,0,2,144,-226
763,0,1,637,-126
457,0,3,898,441
50,0,2,299,249
879,0,3,545,-334
538,0,2,837,299
635,0,1,493,-142
310,0,3,736,426
814,0,5,88,-726
674,0,5,8,-666
222,0,2,473,251
444,0,3,851,407
21,0,4,588,567
439,0,2,262,-177
366,0,3,686,320
422,0,2,688,266
685,0,3,374,-311
60,0,6,949,889
879,0,4,330,-549
52,1,0,125,73
828,0,5,90,-738
727,0,4,273,-454
117,0,2,270,153
390,0,1,245,-145
148,0,1,250,102
4,2,0,53,49
186,0,1,290,104
712,1,0,649,-63
709,0,4,174,-535
667,0,2,836,169
820,2,0,788,-32
528,0,4,66,-462
910,2,0,933,23
17,0,4,544,527
75,1,0,126,51
456,0,4,984,528
623,0,4,136,-487
313,0,3,724,411
516,1,0,573,57
780,0,1,647,-133
91,0,5,772,681
959,0,4,490,-469
134,1,0,65,-69
164,0,2,356,192
629,0,4,170,-459
84,0,2,383,299
107,2,0,127,20
359,1,0,429,70
216,0,1,80,-136
639,0,2,408,-231
960,0,5,237,-723
905,0,6,116,-789
478,0,3,177,-301
331,2,0,368,37
46,3,0,39,-7
666,0,1,521,-145
936,2,0,924,-12
981,0,4,422,-559
431,0,2,668,237
342,1,0,426,84
181,1,0,118,-63
238,0,2,444,206
871,0,5,186,-685
891,0,5,162,-729
127,0,2,282,155
946,0,2,648,-298
39,0,6,854,815
178,0,1,32,-146
447,0,2,721,274
450,0,3,8,-442
790,1,0,860,70
265,0,1,137,-128
999,1,0,949,-50
16,2,0,56,40
218,0,1,116,-102
55,0,6,904,849
73,0,6,903,830
130,0,4,707,577
97,0,1,226,129
325,0,4,783,458
345,0,5,952,607
772,0,5,63,-709
742,0,5,97,-645
919,0,5,258,-661
73,0,4,536,463
125,0,2,300,175
118,0,5,843,725
722,0,3,346,-376
879,0,5,181,-698
643,0,4,157,-486
829,2,0,796,-33
147,0,3,573,426
119,2,0,88,-31
945,0,2,679,-266
223,0,4,817,594
583,2,0,556,-27
947,0,2,685,-262
725,0,3,308,-417
458,0,3,141,-317
619,2,0,642,23
391,0,2,544,153
274,2,0,310,36
402,0,2,212,-190
258,1,0,204,-54
253,1,0,194,-59
623,0,2,416,-207
52,0,5,789,737
939,0,6,103,-836
435,2,0,447,12
831,0,6,7,-824
389,2,0,361,-28
76,0,2,371,295
898,1,0,985,87
746,1,0,843,97
146,0,3,571,425
89,3,0,81,-8
225,0,2,426,201
846,0,2,599,-247
380,0,3,34,-346
13,0,4,536,523
931,0,1,793,-138
571,0,3,235,-336
661,0,2,821,160
328,0,2,481,153
61,0,6,845,784
543,2,0,579,36
758,0,5,110,-648
470,0,3,123,-347
872,0,4,416,-456
491,2,0,507,16
261,0,2,71,-190
481,0,4,938,457
553,0,3,205,-348
8,0,4,555,547
370,2,0,360,-10
940,0,2,669,-271
160,0,6,915,755
198,0,5,921,723
301,0,2,140,-161
81,0,1,229,148
395,0,3,745,350
474,0,2,235,-239
724,1,0,798,74
635,0,3,322,-313
938,0,6,143,-795
101,0,4,688,587
570,0,2,282,-288
100,0,2,315,215
886,0,5,214,-672
993,0,5,323,-670
460,0,4,964,504
766,0,5,24,-742
301,0,2,593,292
456,0,3,807,351
629,0,3,185,-444
961,2,0,946,-15
203,0,2,456,253
106,1,0,175,69
856,0,6,25,-831
136,0,4,723,587
821,1,0,769,-52
462,0,2,746,284
953,0,6,82,-871
877,1,0,782,-95
485,0,4,989,504
293,3,0,302,9
419,1,0,340,-79
723,0,5,11,-712
836,0,1,971,135
114,0,5,762,648
304,0,1,158,-146
308,0,1,186,-122
824,0,6,61,-763
294,2,0,274,-20
310,0,4,813,503
86,0,6,946,860
117,0,2,391,274
432,0,2,170,-262
598,0,2,824,226
49,0,4,562,513
40,0,2,237,197
596,0,3,923,327
349,1,0,262,-87
262,0,4,733,471
785,0,1,906,121
746,0,1,853,107
949,0,5,292,-657
824,0,1,715,-109
271,0,2,31,-240
463,2,0,441,-22
397,0,4,986,589
275,0,2,104,-171
232,0,2,78,-154
24,2,0,51,27
349,0,2,604,255
420,0,2,212,-208
578,1,0,659,81
241,0,4,746,505
619,2,0,658,39
971,0,4,379,-592
522,1,0,437,-85
23,0,2,232,209
421,0,3,8,-413
801,0,2,634,-167
745,0,5,145,-600
203,0,4,747,544
497,2,0,530,33
680,0,2,884,204
381,0,3,809,428
509,0,2,218,-291
526,0,1,423,-103
668,0,2,514,-154
464,0,3,771,307
190,0,1,299,109
860,0,2,639,-221
668,0,5,50,-618
123,0,3,528,405
278,0,2,465,187
158,0,2,422,264
530,0,3,922,392
579,0,2,281,-298
143,0,5,848,705
266,0,1,392,126
313,0,2,478,165
573,0,2,418,-155
103,0,2,393,290
482,1,0,429,-53
394,0,3,14,-380
670,0,5,59,-611
86,0,7,987,901
634,0,5,10,-624
89,0,5,777,688
286,0,2,552,266
137,1,0,203,66
158,0,2,443,285
392,0,5,993,601
818,0,4,321,-497
353,3,0,348,-5
630,0,4,133,-497
160,0,4,668,508
14,0,1,120,106
697,1,0,749,52
528,0,2,235,-293
372,0,4,938,566
663,0,3,346,-317
580,0,4,86,-494
556,0,3,966,410
464,0,3,65,-399
36,0,6,860,824
639,0,2,433,-206
724,0,4,255,-469
730,1,0,808,78
380,0,1,495,115
797,1,0,849,52
470,0,3,785,315
68,0,1,183,115
108,0,6,912,804
627,0,2,432,-195
254,0,4,849,595
397,2,0,429,32
329,0,3,756,427
595,0,3,178,-417
786,0,2,973,187
438,0,1,548,110
150,0,3,509,359
571,2,0,584,13
55,0,2,296,241
359,1,0,275,-84
466,0,2,220,-246
794,0,2,496,-298
893,0,5,226,-667
288,0,2,480,192
857,0,4,285,-572
459,2,0,482,23
294,1,0,241,-53
423,0,2,672,249
548,0,2,814,266
507,0,3,840,333
846,0,1,948,102
530,1,0,478,-52
641,0,2,442,-199
613,0,2,825,212
320,0,3,747,427
946,0,3,597,-349
475,0,3,42,-433
330,0,3,27,-303
612,1,0,673,61
671,2,0,691,20
797,0,1,930,133
747,0,1,619,-128
251,0,4,743,492
454,0,2,272,-182
804,0,4,310,-494
677,0,5,34,-643
459,0,2,659,200
417,0,2,661,244
555,0,3,119,-436
614,0,2,463,-151
131,0,4,699,568
13,0,6,765,752
606,0,4,136,-470
554,0,3,228,-326
263,0,3,661,398
869,0,6,93,-776
788,0,6,29,-759
920,3,0,911,-9
47,0,5,739,692
398,0,3,780,382
517,2,0,506,-11
690,0,2,413,-277
997,0,4,503,-494
402,0,3,84,-318
237,0,2,39,-198
201,0,5,903,702
139,2,0,151,12
378,0,4,849,471
129,0,4,693,564
342,1,0,397,55
706,2,0,721,15
245,0,2,3,-242
593,0,3,912,319
227,0,2,385,158
258,0,2,7,-251
609,0,2,796,187
491,0,2,308,-183
7,0,6,761,754
114,0,5,844,730
367,0,4,921,554
661,0,5,25,-636
705,0,2,498,-207
675,0,2,874,199
778,1,0,709,-69
304,0,2,601,297
735,0,1,878,143
148,2,0,125,-23
603,2,0,616,13
584,0,2,869,285
927,0,3,604,-323
400,0,2,593,193
669,0,5,29,-640
843,0,3,469,-374
207,0,3,641,434
325,2,0,341,16
331,0,1,441,110
116,0,1,247,131
30,0,3,417,387
388,0,3,698,310
300,0,4,834,534
621,0,2,905,284
784,0,3,373,-411
798,0,4,297,-501
190,0,4,653,463
340,1,0,260,-80
858,0,6,48,-810
729,0,5,125,-604
555,0,3,144,-411
322,0,5,991,669
933,0,6,151,-782
310,0,3,655,345
930,1,0,862,-68
850,0,3,511,-339
199,0,3,559,360
408,2,0,376,-32
943,0,3,501,-442
297,0,2,450,153
543,0,1,434,-109
638,0,1,740,102
959,0,6,107,-852
764,0,5,134,-630
260,0,3,656,396
899,2,0,938,39
921,0,6,96,-825
747,0,2,533,-214
165,0,3,603,438
238,0,2,18,-220
489,0,3,73,-416
501,0,3,867,366
179,0,2,358,179
453,0,2,277,-176
67,0,2,232,165
134,0,3,541,407
530,0,1,391,-139
573,0,3,165,-408
491,0,3,903,412
227,0,5,827,600
908,0,2,620,-288
378,0,2,201,-177
813,0,1,959,146
620,0,2,332,-288
669,3,0,672,3
974,0,6,135,-839
211,3,0,211,0
918,2,0,943,25
752,0,1,888,136
684,0,3,237,-447
380,0,3,786,406
404,0,3,12,-392
192,0,5,840,648
584,0,2,348,-236
85,0,3,398,313
526,0,2,797,271
374,3,0,369,-5
185,0,1,44,-141
95,0,3,412,317
250,0,2,83,-167
864,0,4,279,-585
326,0,2,99,-227
809,0,3,441,-368
465,0,4,987,522
200,1,0,108,-92
471,0,1,614,143
380,2,0,334,-46
817,0,1,935,118
963,0,1,832,-131
151,0,3,514,363
641,2,0,683,42
818,0,4,340,-478
889,1,0,969,80
694,0,4,205,-489
474,0,2,739,265
509,0,1,391,-118
732,2,0,703,-29
876,0,4,300,-576
475,0,1,338,-137
972,0,6,162,-810
130,0,2,299,169
505,0,1,640,135
499,0,1,362,-137
889,2,0,854,-35
456,1,0,551,95
40,0,1,189,149
924,2,0,908,-16
190,0,5,929,739
532,0,3,164,-368
467,0,3,46,-421
9,0,6,883,874
33,0,5,706,673
998,0,7,39,-959
570,0,2,368,-202
556,0,1,419,-137
625,0,4,101,-524
650,0,2,352,-298
94,2,0,132,38
933,0,4,345,-588
275,0,3,581,306
797,0,2,538,-259
515,0,2,799,284
995,0,3,633,-362
360,2,0,344,-16
666,1,0,614,-52
261,0,4,756,495
125,2,0,156,31
620,0,1,506,-114
290,0,2,557,267
521,0,2,229,-292
715,2,0,763,48
995,0,3,578,-417
119,0,6,905,786
908,0,4,402,-506
45,0,4,522,477
948,0,6,135,-813
493,1,0,580,87
489,0,1,590,101
692,0,2,527,-165
592,0,4,22,-570
640,0,3,234,-406
607,0,2,785,178
339,0,2,574,235
97,0,5,785,688
269,0,2,71,-198
95,2,0,79,-16
457,0,2,246,-211
780,0,4,308,-472
297,0,1,413,116
668,0,1,795,127
164,0,3,554,390
115,0,5,838,723
216,0,2,21,-195
952,0,4,364,-588
321,0,3,647,326
148,1,0,93,-55
14,0,5,617,603
495,0,3,75,-420
359,0,4,895,536
91,0,6,883,792
798,0,5,94,-704
726,0,5,96,-630
665,0,2,909,244
969,0,4,501,-468
4,0,5,653,649
307,0,5,935,628
765,0,3,376,-389
837,2,0,868,31
704,0,3,317,-387
653,0,2,492,-161
317,0,3,631,314
424,2,0,448,24
382,0,3,789,407
858,0,1,753,-105
586,0,3,214,-372
261,2,0,240,-21
888,0,4,382,-506
997,0,2,833,-164
266,0,3,700,434
198,0,2,46,-152
770,0,2,523,-247
980,0,5,333,-647
894,2,0,856,-38
575,0,2,734,159
570,0,3,890,320
981,0,5,282,-699
596,0,3,930,334
195,0,3,595,400
248,2,0,287,39
487,0,2,707,220
154,0,1,34,-120
751,0,4,209,-542
982,0,6,212,-770
866,0,2,628,-238
407,0,1,526,119
574,0,2,750,176
361,0,4,861,500
497,1,0,441,-56
143,0,6,976,833
275,0,4,757,482
345,0,3,31,-314
186,0,2,361,175
666,0,5,17,-649
842,0,2,579,-263
613,0,4,96,-517
108,0,3,491,383
91,1,0,24,-67
489,0,3,831,342
925,0,2,728,-197
841,1,0,791,-50
573,0,2,797,224
787,0,5,84,-703
903,0,4,374,-529
407,3,0,410,3
439,0,3,770,331
621,0,4,160,-461
151,0,5,810,659
490,0,1,635,145
459,0,4,979,520
817,0,1,923,106
401,0,1,511,110
683,2,0,694,11
618,0,2,858,240
322,0,5,998,676
622,0,2,824,202
298,0,3,647,349
503,0,2,703,200
40,0,4,540,500
83,0,6,909,826
99,1,0,14,-85
518,0,3,164,-354
520,0,1,643,123
740,0,4,237,-503
561,0,3,161,-400
494,0,1,375,-119
377,0,4,849,472
886,0,4,407,-479
423,0,4,982,559
231,0,4,705,474
431,0,4,914,483
216,0,3,657,441
718,0,5,36,-682
847,0,3,502,-345
449,1,0,519,70
846,2,0,874,28
164,0,6,991,827
832,0,1,975,143
14,0,6,842,828
296,0,1,442,146
103,0,4,628,525
694,1,0,757,63
923,0,6,37,-886
448,0,4,970,522
105,1,0,33,-72
785,1,0,733,-52
84,0,6,891,807
120,0,1,7,-113
941,0,4,458,-483
262,0,1,386,124
582,2,0,543,-39
709,0,4,222,-487
688,0,3,307,-381
218,0,2,478,260
693,0,3,284,-409
288,1,0,353,65
638,0,2,485,-153
870,0,3,427,-443
276,0,5,950,674
743,0,1,890,147
202,0,2,4,-198
179,0,4,767,588
901,0,5,221,-680
545,0,3,117,-428
546,0,1,421,-125
420,0,3,117,-303
777,0,3,347,-430
425,0,1,529,104
135,0,2,379,244
248,2,0,294,46
253,0,5,892,639
138,0,5,780,642
782,0,3,350,-432
725,0,2,463,-262
701,0,5,65,-636
371,0,5,1000,629
735,0,3,403,-332
715,0,2,926,211
162,0,5,813,651
295,1,0,377,82
419,0,3,59,-360
148,0,3,463,315
334,2,0,376,42
771,0,2,944,173
24,0,5,773,749
744,2,0,789,45
712,0,4,226,-486
562,0,3,200,-362
321,1,0,401,80
99,0,4,602,503
840,0,1,954,114
530,0,2,716,186
203,0,2,26,-177
601,1,0,548,-53
833,0,3,457,-376
522,0,3,917,395
846,0,5,226,-620
681,0,2,901,220
677,0,2,406,-271
78,0,2,243,165
894,2,0,907,13
672,0,4,141,-531
936,0,4,421,-515
968,0,5,299,-669
3,0,6,857,854
950,0,4,388,-562
91,0,2,386,295
949,0,2,716,-233
876,0,2,687,-189
499,0,1,608,109
481,0,2,769,288
786,0,6,15,-771
747,0,5,102,-645
851,1,0,925,74
104,0,3,419,315
231,0,4,791,560
268,0,3,593,325
960,1,0,901,-59
392,1,0,341,-51
15,0,2,289,274
354,0,1,499,145
892,0,6,79,-813
554,2,0,581,27
456,1,0,404,-52
776,0,2,534,-242
510,0,1,406,-104
751,0,5,151,-600
736,0,4,183,-553
414,1,0,325,-89
226,0,3,671,445
714,0,4,132,-582
849,0,2,638,-211
878,0,6,26,-852
569,0,2,853,284
627,0,2,336,-291
996,0,6,135,-861
37,0,3,399,362
831,0,2,571,-260
34,0,7,952,918
755,0,2,584,-171
634,0,4,97,-537
828,0,1,967,139
839,0,4,298,-541
402,1,0,352,-50
547,0,2,369,-178
933,0,5,274,-659
173,0,2,438,265
347,2,0,334,-13
698,2,0,667,-31
272,0,5,939,667
712,0,4,207,-505
497,0,1,371,-126
993,0,7,23,-970
263,2,0,238,-25
390,0,2,183,-207
274,0,2,39,-235
292,0,1,152,-140
657,0,3,997,340
244,0,4,725,481
527,0,3,164,-363
650,0,3,226,-424
221,0,2,387,166
574,0,2,278,-296
687,0,5,70,-617
871,0,2,646,-225
951,0,6,155,-796
356,1,0,298,-58
283,0,1,419,136
957,0,1,815,-142
90,0,5,833,743
695,1,0,780,85
917,0,4,370,-547
58,0,3,494,436
550,0,2,791,241
825,0,3,523,-302
78,0,1,205,127
668,0,5,2,-666
781,2,0,813,32
240,0,1,353,113
895,0,5,227,-668
670,2,0,628,-42
309,0,2,481,172
70,0,2,231,161
531,0,3,179,-352
106,0,3,470,364
928,0,2,678,-250
349,0,4,884,535
202,0,3,637,435
704,0,1,599,-105
230,0,5,946,716
799,0,3,377,-422
361,0,2,635,274
521,0,2,739,218
424,2,0,469,45
135,0,2,338,203
88,0,6,894,806
821,0,5,186,-635
343,0,2,97,-246
989,0,3,650,-339
651,0,2,393,-258
539,0,2,810,271
748,0,1,612,-136
317,0,1,191,-126
774,0,3,473,-301
177,0,1,280,103
247,3,0,254,7
56,0,3,407,351
773,0,2,600,-173
376,0,3,775,399
822,0,5,99,-723
424,1,0,501,77
239,0,5,958,719
239,0,2,430,191
97,0,1,216,119
856,0,1,718,-138
398,0,3,41,-357
317,0,1,442,125
507,0,4,27,-480
918,1,0,854,-64
731,0,2,452,-279
111,0,1,227,116
858,0,6,39,-819
681,0,2,864,183
976,3,0,979,3
268,0,2,20,-248
343,1,0,423,80
52,0,6,847,795
546,0,3,190,-356
141,0,3,453,312
381,0,2,165,-216
289,0,3,634,345
877,0,6,48,-829
280,0,4,853,573
987,0,6,233,-754
906,0,4,309,-597
528,0,3,183,-345
94,0,6,956,862
440,0,2,682,242
23,0,5,652,629
762,2,0,796,34
206,0,4,677,471
137,0,2,368,231
957,0,7,41,-916
100,0,4,613,513
69,0,5,802,733
182,0,6,958,776
693,0,3,337,-356
82,0,3,406,324
966,0,4,381,-585
964,0,5,347,-617
634,0,2,882,248
286,0,2,10,-276
484,0,3,114,-370
632,0,5,15,-617
216,0,4,744,528
590,1,0,676,86
685,0,1,789,104
674,0,3,257,-417
58,0,6,878,820
443,0,2,184,-259
177,0,5,805,628
326,2,0,342,16
79,1,0,137,58
125,1,0,215,90
997,0,4,494,-503
985,0,3,639,-346
885,0,4,394,-491
441,2,0,470,29
925,2,0,904,-21
617,2,0,605,-12
859,1,0,807,-52
77,0,6,967,890
177,0,5,830,653
55,0,3,412,357
160,0,5,799,639
944,0,4,432,-512
437,0,4,963,526
381,0,2,617,236
266,0,2,447,181
643,2,0,621,-22
538,2,0,551,13
195,0,1,94,-101
88,0,2,263,175
181,0,2,406,225
351,0,4,919,568
189,0,4,725,536
566,0,2,395,-171
105,0,4,620,515
207,0,2,34,-173
429,0,3,23,-406
441,0,3,113,-328
315,0,4,898,583
141,0,5,883,742
47,1,0,107,60
648,2,0,688,40
524,0,1,658,134
428,0,3,113,-315
58,0,7,961,903
735,0,1,884,149
514,0,2,295,-219
917,2,0,946,29
635,0,4,52,-583
711,0,1,563,-148
335,1,0,396,61
529,0,2,734,205
997,0,5,333,-664
959,0,6,140,-819
896,0,6,131,-765
306,0,4,888,582
126,0,4,715,589
262,0,2,87,-175
414,0,3,74,-340
607,0,2,313,-294
552,0,2,732,180
977,0,7,36,-941
248,0,3,610,362
182,0,6,954,772
641,0,2,815,174
501,0,3,139,-362
186,0,4,671,485
175,0,3,517,342
389,0,2,130,-259
116,0,5,860,744
511,0,2,353,-158
410,1,0,506,96
152,0,6,999,847
529,0,4,63,-466
334,0,4,914,580
523,1,0,616,93
843,0,3,447,-396
222,0,2,489,267
558,0,3,906,348
807,0,2,628,-179
899,2,0,877,-22
573,0,1,687,114
361,2,0,409,48
158,0,6,928,770
891,0,2,608,-283
362,0,2,193,-169
540,0,2,703,163
607,0,2,336,-271
441,0,3,2,-439
831,3,0,836,5
321,0,2,113,-208
377,1,0,471,94
33,0,3,364,331
125,0,4,608,483
362,0,2,156,-206
898,0,6,29,-869
167,0,1,284,117
673,0,3,981,308
750,2,0,794,44
193,1,0,287,94
330,0,2,502,172
576,0,3,998,422
560,0,3,910,350
459,1,0,546,87
58,1,0,144,86
359,0,3,22,-337
931,0,2,644,-287
509,2,0,488,-21
914,0,4,385,-529
821,0,3,477,-344
935,0,7,16,-919
818,0,5,91,-727
521,0,3,887,366
165,0,5,768,603
700,0,1,574,-126
996,1,0,943,-53
927,0,1,821,-106
215,0,3,550,335
535,0,2,727,192
774,0,1,903,129
848,0,3,453,-395
162,2,0,197,35
971,0,4,487,-484
85,0,2,361,276
498,0,2,311,-187
722,0,2,494,-228
623,0,3,937,314
271,1,0,197,-74
628,0,2,445,-183
763,0,5,69,-694
362,0,2,189,-173
555,0,3,235,-320
101,0,4,638,537
447,1,0,374,-73
161,0,1,43,-118
552,0,4,98,-454
533,1,0,614,81
940,0,4,378,-562
719,0,3,349,-370
209,1,0,142,-67
903,0,6,72,-831
955,0,4,361,-594
751,0,4,274,-477
190,1,0,133,-57
735,0,4,145,-590
183,0,3,526,343
712,0,5,10,-702
591,0,2,885,294
312,0,5,981,669
246,0,2,404,158
440,0,3,842,402
374,0,1,508,134
294,0,4,823,529
597,0,2,417,-180
173,0,6,994,821
993,0,6,222,-771
20,0,4,502,482
917,0,3,498,-419
474,2,0,522,48
348,0,1,235,-113
824,0,5,93,-731
60,1,0,10,-50
402,2,0,440,38
357,0,2,512,155
727,0,4,160,-567
538,0,2,303,-235
726,0,4,142,-584
78,0,3,437,359
55,0,3,405,350
633,0,2,341,-292
422,1,0,325,-97
380,0,2,645,265
850,3,0,851,1
990,0,1,842,-148
807,0,5,151,-656
251,0,2,544,293
453,0,4,971,518
548,2,0,532,-16
875,0,3,507,-368
832,1,0,765,-67
317,3,0,320,3
704,1,0,776,72
448,0,2,165,-283
512,0,2,742,230
52,0,4,637,585
906,0,2,666,-240
446,0,2,659,213
609,0,4,113,-496
1000,0,2,725,-275
236,0,2,416,180
26,1,0,80,54
892,0,3,575,-317
167,0,4,625,458
715,0,3,406,-309
336,0,1,219,-117
12,0,6,890,878
135,0,1,276,141
667,0,2,928,261
196,0,4,689,493
939,0,2,735,-204
628,0,2,902,274
219,0,3,523,304
37,0,5,782,745
574,0,3,969,395
643,0,3,315,-328
177,0,6,935,758
98,0,1,221,123
732,0,3,371,-361
428,0,1,280,-148
365,0,2,554,189
663,3,0,656,-7
182,0,2,428,246
276,1,0,219,-57
24,0,2,271,247
480,1,0,560,80
773,0,1,898,125
935,0,4,410,-525
591,0,2,431,-160
469,0,3,786,317
808,0,3,434,-374
410,0,3,31,-379
290,0,4,878,588
227,0,4,817,590
501,0,2,789,288
427,0,4,883,456
517,0,3,836,319
69,2,0,88,19
898,0,5,265,-633
29,0,3,415,386
794,0,1,908,114
354,0,5,972,618
729,0,3,385,-344
235,1,0,329,94
479,0,2,226,-253
689,0,5,42,-647
362,0,3,58,-304
301,0,4,847,546
672,0,2,466,-206
557,0,3,864,307
697,0,1,566,-131
260,0,5,870,610
693,0,1,545,-148
780,0,3,340,-440
683,0,4,116,-567
809,0,4,352,-457
486,0,4,959,473
555,0,3,162,-393
191,0,6,958,767
797,0,2,992,195
766,0,6,4,-762
738,2,0,694,-44
585,0,1,447,-138
927,0,3,578,-349
122,0,3,496,374
238,0,1,357,119
480,0,2,760,280
913,0,5,217,-696
107,0,1,247,140
305,0,5,941,636
419,0,2,710,291
602,0,3,243,-359
841,0,5,212,-629
945,0,4,365,-580
706,0,4,148,-558
475,0,1,364,-111
884,0,3,575,-309
931,0,5,321,-610
657,0,2,911,254
290,2,0,259,-31
277,0,3,658,381
302,0,5,987,685
145,2,0,102,-43
659,0,2,362,-297
785,1,0,703,-82
932,0,2,726,-206
764,0,5,143,-621
428,0,3,864,436
905,0,5,203,-702
793,2,0,744,-49
537,0,3,223,-314
3,1,0,54,51
583,0,2,331,-252
962,0,4,484,-478
482,1,0,411,-71
565,0,3,155,-410
935,0,2,656,-279
51,0,4,580,529
539,3,0,535,-4
188,0,3,538,350
571,1,0,485,-86
504,1,0,425,-79
110,1,0,179,69
627,0,2,877,250
121,1,0,69,-52
308,0,5,941,633
994,0,4,464,-530
155,0,6,932,777
781,0,2,975,194
469,0,4,973,504
812,1,0,906,94
559,0,3,898,339
540,1,0,612,72
332,0,3,660,328
460,0,4,985,525
777,0,3,442,-335
238,0,3,687,449
113,0,6,928,815
250,2,0,231,-19
564,2,0,587,23
544,0,1,436,-108
407,0,3,821,414
314,0,5,939,625
570,1,0,631,61
642,0,2,451,-191
734,0,4,143,-591
455,1,0,361,-94
967,0,5,295,-672
898,0,1,765,-133
334,0,2,540,206
543,1,0,631,88
834,0,2,683,-151
683,0,2,493,-190
355,0,3,660,305
692,0,2,942,250
325,0,1,457,132
388,0,2,232,-156
831,0,6,80,-751
477,0,2,645,168
644,0,1,535,-109
30,2,0,65,35
925,0,5,262,-663
654,0,1,758,104
781,1,0,684,-97
500,0,2,237,-263
156,3,0,165,9
635,0,2,862,227
446,2,0,463,17
793,2,0,771,-22
207,0,5,884,677
297,0,2,83,-214
469,0,2,300,-169
251,1,0,159,-92
874,0,3,571,-303
971,1,0,919,-52
59,0,4,612,553
853,1,0,910,57
9,0,4,496,487
292,0,3,670,378
225,0,1,363,138
471,0,3,898,427
129,0,6,992,863
191,2,0,204,13
856,2,0,844,-12
658,1,0,714,56
100,0,4,653,553
421,0,2,173,-248
440,0,3,88,-352
702,0,2,873,171
226,1,0,297,71
575,0,2,405,-170
288,0,2,1,-287
63,0,6,892,829
9,0,4,488,479
586,0,2,353,-233
173,0,4,743,570
134,0,3,496,362
477,0,2,670,193
991,0,7,77,-914
921,0,4,329,-592
375,0,3,21,-354
827,0,4,271,-556
269,0,3,668,399
241,0,2,397,156
858,3,0,857,-1
80,0,4,534,454
732,2,0,718,-14
862,0,2,636,-226
720,0,4,181,-539
195,0,1,71,-124
341,0,2,610,269
846,0,5,114,-732
606,0,3,284,-322
815,0,2,589,-226
932,0,5,189,-743
759,0,5,148,-611
217,0,4,669,452
310,0,3,729,419
225,2,0,240,15
935,0,4,468,-467
719,0,1,575,-144
293,0,4,862,569
611,0,4,118,-493
444,2,0,427,-17
867,0,3,470,-397
20,0,6,827,807
228,1,0,283,55
917,0,5,196,-721
378,0,1,526,148
831,1,0,734,-97
141,0,3,493,352
877,0,3,577,-300
566,0,3,181,-385
466,0,2,288,-178
267,0,1,123,-144
567,0,3,179,-388
944,0,4,424,-520
641,0,2,356,-285
982,0,7,22,-960
565,0,1,668,103
781,0,2,535,-246
949,0,2,748,-201
